<<<<<<< HEAD
bert/encoder/layer_11/intermediate/dense/kernel/adam_v/read 16844 16852
bert/encoder/layer_11/intermediate/dense/bias/adam_m/read 16855 16863
bert/encoder/layer_11/intermediate/dense/bias/adam_v/read 16870 16877
bert/encoder/layer_0/output/LayerNorm/beta/adam_m/read 16881 16889
bert/encoder/layer_11/output/dense/kernel/adam_m/read 16892 16904
bert/encoder/layer_11/output/dense/kernel/adam_v/read 16907 16915
bert/encoder/layer_11/output/dense/bias/adam_m/read 16919 16926
bert/encoder/layer_11/output/dense/bias/adam_v/read 16933 16941
bert/encoder/layer_11/output/LayerNorm/beta/adam_m/read 16944 16952
bert/encoder/layer_11/output/LayerNorm/beta/adam_v/read 16955 16966
bert/encoder/layer_11/output/LayerNorm/gamma/adam_m/read 16969 16977
bert/encoder/layer_0/output/LayerNorm/beta/adam_v/read 16980 16992
bert/encoder/layer_11/output/LayerNorm/gamma/adam_v/read 16995 17003
bert/pooler/dense/kernel/adam_m/read 17006 17014
bert/pooler/dense/kernel/adam_v/read 17017 17029
bert/pooler/dense/bias/adam_m/read 17032 17039
bert/pooler/dense/bias/adam_v/read 17042 17053
cls/predictions/transform/dense/kernel/adam_m/read 17056 17064
cls/predictions/transform/dense/kernel/adam_v/read 17067 17075
cls/predictions/transform/dense/bias/adam_m/read 17078 17090
cls/predictions/transform/dense/bias/adam_v/read 17093 17101
cls/predictions/transform/LayerNorm/beta/adam_m/read 17104 17116
cls/predictions/transform/LayerNorm/beta/adam_v/read 17119 17127
cls/predictions/transform/LayerNorm/gamma/adam_m/read 17130 17137
cls/predictions/transform/LayerNorm/gamma/adam_v/read 17142 17153
bert/encoder/layer_0/output/LayerNorm/gamma/adam_m/read 17159 17166
cls/predictions/output_bias/adam_m/read 17170 17184
cls/predictions/output_bias/adam_v/read 17187 17195
cls/seq_relationship/output_weights/adam_m/read 17199 17207
cls/seq_relationship/output_weights/adam_v/read 17211 17222
cls/seq_relationship/output_bias/adam_m/read 17225 17233
cls/seq_relationship/output_bias/adam_v/read 17236 17251
bert/encoder/layer_0/output/LayerNorm/gamma/adam_v/read 17255 17262
bert/encoder/layer_1/attention/self/query/kernel/adam_m/read 17266 17274
bert/encoder/layer_1/attention/self/query/kernel/adam_v/read 17281 17289
bert/encoder/layer_1/attention/self/query/bias/adam_m/read 17292 17300
bert/encoder/layer_1/attention/self/query/bias/adam_v/read 17303 17315
bert/embeddings/position_embeddings/adam_m/read 17318 17326
bert/encoder/layer_1/attention/self/key/kernel/adam_m/read 17329 17336
bert/encoder/layer_1/attention/self/key/kernel/adam_v/read 17343 17351
bert/encoder/layer_1/attention/self/key/bias/adam_m/read 17354 17362
bert/encoder/layer_1/attention/self/key/bias/adam_v/read 17365 17376
bert/encoder/layer_1/attention/self/value/kernel/adam_m/read 17379 17387
bert/encoder/layer_1/attention/self/value/kernel/adam_v/read 17390 17402
bert/encoder/layer_1/attention/self/value/bias/adam_m/read 17405 17413
bert/embeddings/position_embeddings/adam_v/read 17417 17424
bert/encoder/layer_1/attention/self/value/bias/adam_v/read 17431 17439
bert/encoder/layer_1/attention/output/dense/kernel/adam_m/read 17442 17450
bert/encoder/layer_1/attention/output/dense/kernel/adam_v/read 17453 17465
bert/encoder/layer_1/attention/output/dense/bias/adam_m/read 17468 17476
bert/encoder/layer_1/attention/output/dense/bias/adam_v/read 17479 17486
bert/encoder/layer_1/attention/output/LayerNorm/beta/adam_m/read 17493 17501
bert/encoder/layer_1/attention/output/LayerNorm/beta/adam_v/read 17504 17512
bert/embeddings/LayerNorm/beta/adam_m/read 17515 17526
bert/embeddings/LayerNorm/beta/adam_v/read 17530 17537
bert/encoder/layer_1/attention/output/LayerNorm/gamma/adam_m/read 17540 17552
bert/encoder/layer_1/attention/output/LayerNorm/gamma/adam_v/read 17556 17564
bert/encoder/layer_1/intermediate/dense/kernel/adam_m/read 17567 17575
bert/encoder/layer_1/intermediate/dense/kernel/adam_v/read 17582 17590
global_step/VarIsInitializedOp 17593 17620
ReadVariableOp 17624 17643
PolynomialDecay/Cast_2/ReadVariableOp 17646 17655
bert/encoder/layer_1/intermediate/dense/bias/adam_m/read 17658 17665
bert/encoder/layer_1/intermediate/dense/bias/adam_v/read 17672 17680
cls/predictions/transform/LayerNorm/beta/read 17683 17692
add 17695 17774
cls/predictions/transform/dense/kernel/read 17778 17788
cls/predictions/transform/dense/bias/read 17791 17799
cls/predictions/transform/LayerNorm/gamma/read 17806 17815
cls/predictions/output_bias/read 17818 17826
bert/encoder/layer_11/output/LayerNorm/beta/read 17829 17841
bert/encoder/layer_11/intermediate/dense/kernel/read 17844 17853
bert/encoder/layer_11/intermediate/dense/bias/read 17856 17863
bert/encoder/layer_11/output/dense/kernel/read 17870 17878
bert/encoder/layer_11/output/dense/bias/read 17881 17889
bert/encoder/layer_11/attention/output/LayerNorm/beta/read 17892 17904
bert/encoder/layer_11/attention/self/query/kernel/read 17907 17916
bert/encoder/layer_11/attention/self/query/bias/read 17919 17926
bert/encoder/layer_11/attention/self/key/kernel/read 17933 17941
bert/encoder/layer_11/attention/self/key/bias/read 17945 17952
bert/encoder/layer_11/attention/self/value/kernel/read 17956 17968
bert/encoder/layer_11/attention/self/value/bias/read 17971 17979
bert/encoder/layer_11/attention/output/dense/kernel/read 17982 17993
bert/encoder/layer_11/attention/output/dense/bias/read 17997 18004
bert/encoder/layer_10/output/LayerNorm/beta/read 18008 18015
bert/encoder/layer_10/intermediate/dense/kernel/read 18019 18031
bert/encoder/layer_10/intermediate/dense/bias/read 18034 18042
bert/encoder/layer_10/output/dense/kernel/read 18044 18057
bert/encoder/layer_10/output/dense/bias/read 18060 18068
bert/encoder/layer_10/attention/output/LayerNorm/beta/read 18072 18079
bert/encoder/layer_10/attention/self/query/kernel/read 18086 18095
bert/encoder/layer_10/attention/self/query/bias/read 18098 18106
bert/encoder/layer_10/attention/self/key/kernel/read 18109 18121
bert/encoder/layer_10/attention/self/key/bias/read 18124 18132
bert/encoder/layer_10/attention/self/value/kernel/read 18135 18143
bert/encoder/layer_10/attention/self/value/bias/read 18151 18159
bert/encoder/layer_10/attention/output/dense/kernel/read 18162 18170
bert/encoder/layer_10/attention/output/dense/bias/read 18173 18184
bert/encoder/layer_9/output/LayerNorm/beta/read 18187 18195
bert/encoder/layer_9/intermediate/dense/kernel/read 18198 18206
bert/encoder/layer_9/intermediate/dense/bias/read 18213 18221
bert/encoder/layer_9/output/dense/kernel/read 18224 18233
bert/encoder/layer_9/output/dense/bias/read 18236 18247
bert/encoder/layer_9/attention/output/LayerNorm/beta/read 18250 18258
bert/encoder/layer_9/attention/self/query/kernel/read 18261 18274
bert/encoder/layer_9/attention/self/query/bias/read 18277 18307
bert/encoder/layer_9/attention/self/key/kernel/read 18310 18318
bert/encoder/layer_9/attention/self/key/bias/read 18321 18334
bert/encoder/layer_9/attention/self/value/kernel/read 18337 18346
bert/encoder/layer_9/attention/self/value/bias/read 18349 18365
bert/encoder/layer_9/attention/output/dense/kernel/read 18368 18377
bert/encoder/layer_9/attention/output/dense/bias/read 18380 18388
bert/encoder/layer_8/output/LayerNorm/beta/read 18395 18403
bert/encoder/layer_8/intermediate/dense/kernel/read 18405 18414
bert/encoder/layer_8/intermediate/dense/bias/read 18417 18429
bert/encoder/layer_8/output/dense/kernel/read 18432 18440
bert/encoder/layer_8/output/dense/bias/read 18444 18451
bert/encoder/layer_8/attention/output/LayerNorm/beta/read 18458 18466
bert/encoder/layer_8/attention/self/query/kernel/read 18469 18478
bert/encoder/layer_8/attention/self/query/bias/read 18482 18494
bert/encoder/layer_8/attention/self/key/kernel/read 18496 18505
bert/encoder/layer_8/attention/self/key/bias/read 18509 18517
bert/encoder/layer_8/attention/self/value/kernel/read 18523 18531
bert/encoder/layer_8/attention/self/value/bias/read 18535 18543
bert/encoder/layer_8/attention/output/dense/kernel/read 18546 18560
bert/encoder/layer_8/attention/output/dense/bias/read 18563 18571
bert/encoder/layer_7/output/LayerNorm/beta/read 18574 18582
bert/encoder/layer_7/intermediate/dense/kernel/read 18588 18597
bert/encoder/layer_7/intermediate/dense/bias/read 18600 18607
bert/encoder/layer_7/output/dense/kernel/read 18610 18623
bert/encoder/layer_7/output/dense/bias/read 18626 18634
bert/encoder/layer_7/attention/output/LayerNorm/beta/read 18637 18648
bert/encoder/layer_7/attention/self/query/kernel/read 18651 18660
bert/encoder/layer_7/attention/self/query/bias/read 18663 18671
bert/encoder/layer_7/attention/self/key/kernel/read 18674 18686
bert/encoder/layer_7/attention/self/key/bias/read 18689 18697
bert/encoder/layer_7/attention/self/value/kernel/read 18699 18712
bert/encoder/layer_7/attention/self/value/bias/read 18715 18724
bert/encoder/layer_7/attention/output/dense/kernel/read 18727 18735
bert/encoder/layer_7/attention/output/dense/bias/read 18742 18750
bert/encoder/layer_6/output/LayerNorm/beta/read 18753 18761
bert/encoder/layer_6/intermediate/dense/kernel/read 18764 18776
bert/encoder/layer_6/intermediate/dense/bias/read 18779 18787
bert/encoder/layer_6/output/dense/kernel/read 18790 18798
bert/encoder/layer_6/output/dense/bias/read 18805 18813
bert/encoder/layer_6/attention/output/LayerNorm/beta/read 18816 18824
bert/encoder/layer_6/attention/self/query/kernel/read 18827 18839
bert/encoder/layer_6/attention/self/query/bias/read 18843 18850
bert/encoder/layer_6/attention/self/key/kernel/read 18853 18862
bert/encoder/layer_6/attention/self/key/bias/read 18868 18877
bert/encoder/layer_6/attention/self/value/kernel/read 18879 18887
bert/encoder/layer_6/attention/self/value/bias/read 18890 18902
bert/encoder/layer_6/attention/output/dense/kernel/read 18905 18913
bert/encoder/layer_6/attention/output/dense/bias/read 18916 18928
bert/encoder/layer_5/output/LayerNorm/beta/read 18931 18939
bert/encoder/layer_5/intermediate/dense/kernel/read 18942 18950
bert/encoder/layer_5/intermediate/dense/bias/read 18953 18965
bert/encoder/layer_5/output/dense/kernel/read 18967 18976
bert/encoder/layer_5/output/dense/bias/read 18979 18992
bert/encoder/layer_5/attention/output/LayerNorm/beta/read 18996 19004
bert/encoder/layer_5/attention/self/query/kernel/read 19007 19015
bert/encoder/layer_5/attention/self/query/bias/read 19022 19030
bert/encoder/layer_5/attention/self/key/kernel/read 19033 19041
bert/encoder/layer_5/attention/self/key/bias/read 19044 19055
bert/encoder/layer_5/attention/self/value/kernel/read 19059 19067
bert/encoder/layer_5/attention/self/value/bias/read 19070 19077
bert/encoder/layer_5/attention/output/dense/kernel/read 19084 19093
bert/encoder/layer_5/attention/output/dense/bias/read 19096 19103
bert/encoder/layer_4/output/LayerNorm/beta/read 19106 19118
bert/encoder/layer_4/intermediate/dense/kernel/read 19121 19130
bert/encoder/layer_4/intermediate/dense/bias/read 19133 19140
bert/encoder/layer_4/output/dense/kernel/read 19147 19155
bert/encoder/layer_4/output/dense/bias/read 19159 19167
bert/encoder/layer_4/attention/output/LayerNorm/beta/read 19170 19182
bert/encoder/layer_4/attention/self/query/kernel/read 19185 19193
bert/encoder/layer_4/attention/self/query/bias/read 19197 19208
bert/encoder/layer_4/attention/self/key/kernel/read 19211 19219
bert/encoder/layer_4/attention/self/key/bias/read 19222 19230
bert/encoder/layer_4/attention/self/value/kernel/read 19233 19251
bert/encoder/layer_4/attention/self/value/bias/read 19254 19262
bert/encoder/layer_4/attention/output/dense/kernel/read 19265 19278
bert/encoder/layer_4/attention/output/dense/bias/read 19281 19288
bert/encoder/layer_3/output/LayerNorm/beta/read 19291 19299
bert/encoder/layer_3/intermediate/dense/kernel/read 19302 19315
bert/encoder/layer_3/intermediate/dense/bias/read 19318 19326
bert/encoder/layer_3/output/dense/kernel/read 19329 19342
bert/encoder/layer_3/output/dense/bias/read 19345 19352
bert/encoder/layer_3/attention/output/LayerNorm/beta/read 19355 19364
bert/encoder/layer_3/attention/self/query/kernel/read 19370 19379
bert/encoder/layer_3/attention/self/query/bias/read 19382 19389
bert/encoder/layer_3/attention/self/key/kernel/read 19392 19405
bert/encoder/layer_3/attention/self/key/bias/read 19408 19415
bert/encoder/layer_3/attention/self/value/kernel/read 19418 19426
bert/encoder/layer_3/attention/self/value/bias/read 19434 19442
bert/encoder/layer_3/attention/output/dense/kernel/read 19444 19453
bert/encoder/layer_3/attention/output/dense/bias/read 19456 19467
bert/encoder/layer_2/output/LayerNorm/beta/read 19470 19477
bert/encoder/layer_2/intermediate/dense/kernel/read 19480 19489
bert/encoder/layer_2/intermediate/dense/bias/read 19495 19503
bert/encoder/layer_2/output/dense/kernel/read 19506 19514
bert/encoder/layer_2/output/dense/bias/read 19517 19529
bert/encoder/layer_2/attention/output/LayerNorm/beta/read 19532 19539
bert/encoder/layer_2/attention/self/query/kernel/read 19542 19554
bert/encoder/layer_2/attention/self/query/bias/read 19557 19565
bert/encoder/layer_2/attention/self/key/kernel/read 19568 19576
bert/encoder/layer_2/attention/self/key/bias/read 19579 19590
bert/encoder/layer_2/attention/self/value/kernel/read 19593 19601
bert/encoder/layer_2/attention/self/value/bias/read 19604 19616
bert/encoder/layer_2/attention/output/dense/kernel/read 19619 19627
bert/encoder/layer_2/attention/output/dense/bias/read 19630 19638
bert/encoder/layer_1/output/LayerNorm/beta/read 19644 19652
bert/encoder/layer_1/intermediate/dense/kernel/read 19655 19663
bert/encoder/layer_1/intermediate/dense/bias/read 19666 19678
bert/encoder/layer_1/output/dense/kernel/read 19681 19689
bert/encoder/layer_1/output/dense/bias/read 19692 19700
bert/encoder/layer_1/attention/output/LayerNorm/beta/read 19706 19714
bert/encoder/layer_1/attention/self/query/kernel/read 19717 19726
bert/encoder/layer_1/attention/self/query/bias/read 19729 19740
bert/encoder/layer_1/attention/self/key/kernel/read 19743 19751
bert/encoder/layer_1/attention/self/key/bias/read 19754 19762
bert/encoder/layer_1/attention/self/value/kernel/read 19769 19777
bert/encoder/layer_1/attention/self/value/bias/read 19780 19788
bert/encoder/layer_1/attention/output/dense/kernel/read 19790 19802
bert/encoder/layer_1/attention/output/dense/bias/read 19805 19813
bert/encoder/layer_0/output/LayerNorm/beta/read 19815 19827
bert/encoder/layer_0/intermediate/dense/kernel/read 19830 19838
bert/encoder/layer_0/intermediate/dense/bias/read 19841 19849
bert/encoder/layer_0/output/dense/kernel/read 19852 19866
bert/encoder/layer_0/output/dense/bias/read 19869 19876
bert/encoder/layer_0/attention/output/LayerNorm/beta/read 19879 19891
bert/encoder/layer_0/attention/self/query/kernel/read 19894 19920
bert/encoder/layer_0/attention/self/query/bias/read 19923 19932
bert/encoder/layer_0/attention/self/key/kernel/read 19936 19947
bert/encoder/layer_0/attention/self/key/bias/read 19950 19958
bert/encoder/Reshape 19961 19976
bert/encoder/layer_11/attention/self/dropout/random_uniform/RandomUniform 19981 20148
bert/encoder/layer_10/attention/self/dropout/random_uniform/RandomUniform 20163 20239
bert/encoder/layer_9/attention/self/dropout/random_uniform/RandomUniform 20248 20302
bert/encoder/layer_8/attention/self/dropout/random_uniform/RandomUniform 20310 20352
bert/encoder/layer_7/attention/self/dropout/random_uniform/RandomUniform 20360 20406
bert/encoder/layer_6/attention/self/dropout/random_uniform/RandomUniform 20414 20454
bert/encoder/layer_5/attention/self/dropout/random_uniform/RandomUniform 20468 20510
bert/encoder/layer_4/attention/self/dropout/random_uniform/RandomUniform 20517 20557
bert/encoder/layer_3/attention/self/dropout/random_uniform/RandomUniform 20570 20612
bert/encoder/layer_2/attention/self/dropout/random_uniform/RandomUniform 20619 20667
bert/encoder/layer_1/attention/self/dropout/random_uniform/RandomUniform 20675 20726
bert/encoder/layer_0/attention/self/dropout/random_uniform/RandomUniform 20733 20776
bert/encoder/layer_0/attention/self/value/kernel/read 20783 20795
bert/encoder/layer_0/attention/self/value/bias/read 20798 20806
bert/encoder/layer_0/attention/output/dense/kernel/read 20812 20821
bert/encoder/layer_0/attention/output/dense/bias/read 20824 20831
bert/encoder/layer_11/output/dropout/random_uniform/RandomUniform 20833 20875
bert/encoder/layer_11/attention/output/dropout/random_uniform/RandomUniform 20886 20925
bert/encoder/layer_10/output/dropout/random_uniform/RandomUniform 20932 20975
bert/encoder/layer_10/attention/output/dropout/random_uniform/RandomUniform 20982 21016
bert/encoder/layer_9/output/dropout/random_uniform/RandomUniform 21024 21067
bert/encoder/layer_9/attention/output/dropout/random_uniform/RandomUniform 21075 21109
bert/encoder/layer_8/output/dropout/random_uniform/RandomUniform 21120 21159
bert/encoder/layer_8/attention/output/dropout/random_uniform/RandomUniform 21166 21201
bert/encoder/layer_7/output/dropout/random_uniform/RandomUniform 21213 21250
bert/encoder/layer_7/attention/output/dropout/random_uniform/RandomUniform 21257 21294
bert/encoder/layer_6/output/dropout/random_uniform/RandomUniform 21305 21342
bert/encoder/layer_6/attention/output/dropout/random_uniform/RandomUniform 21349 21386
bert/encoder/layer_5/output/dropout/random_uniform/RandomUniform 21398 21436
bert/encoder/layer_5/attention/output/dropout/random_uniform/RandomUniform 21443 21477
bert/encoder/layer_4/output/dropout/random_uniform/RandomUniform 21489 21528
bert/encoder/layer_4/attention/output/dropout/random_uniform/RandomUniform 21535 21570
bert/encoder/layer_3/output/dropout/random_uniform/RandomUniform 21582 21620
bert/encoder/layer_3/attention/output/dropout/random_uniform/RandomUniform 21627 21664
bert/encoder/layer_2/output/dropout/random_uniform/RandomUniform 21676 21712
bert/encoder/layer_2/attention/output/dropout/random_uniform/RandomUniform 21719 21755
bert/encoder/layer_1/output/dropout/random_uniform/RandomUniform 21767 21804
bert/encoder/layer_1/attention/output/dropout/random_uniform/RandomUniform 21811 21846
bert/encoder/layer_0/output/dropout/random_uniform/RandomUniform 21859 21897
bert/encoder/layer_0/attention/output/dropout/random_uniform/RandomUniform 21904 21938
bert/embeddings/LayerNorm/beta/read 21951 21961
bert/embeddings/position_embeddings/read 21964 21972
bert/embeddings/word_embeddings/read 22173 22184
cls/predictions/Reshape_1 22188 22199
cls/predictions/Reshape 22210 22219
cls/seq_relationship/Reshape 22223 22231
bert/embeddings/ExpandDims 22234 22251
bert/embeddings/Reshape_1 22256 22263
bert/embeddings/token_type_embeddings/read 22267 22275
bert/embeddings/LayerNorm/gamma/read 22282 22290
bert/encoder/layer_0/attention/output/LayerNorm/gamma/read 22294 22301
bert/encoder/layer_0/output/LayerNorm/gamma/read 22304 22316
bert/encoder/layer_1/attention/output/LayerNorm/gamma/read 22319 22326
bert/encoder/layer_1/output/LayerNorm/gamma/read 22329 22336
bert/encoder/layer_2/attention/output/LayerNorm/gamma/read 22342 22350
bert/encoder/layer_2/output/LayerNorm/gamma/read 22353 22360
bert/encoder/layer_3/attention/output/LayerNorm/gamma/read 22363 22375
bert/encoder/layer_3/output/LayerNorm/gamma/read 22377 22385
bert/encoder/layer_4/attention/output/LayerNorm/gamma/read 22388 22399
bert/encoder/layer_4/output/LayerNorm/gamma/read 22403 22410
bert/encoder/layer_5/attention/output/LayerNorm/gamma/read 22413 22420
bert/encoder/layer_5/output/LayerNorm/gamma/read 22423 22434
bert/encoder/layer_6/attention/output/LayerNorm/gamma/read 22437 22444
bert/encoder/layer_6/output/LayerNorm/gamma/read 22448 22459
bert/encoder/layer_7/attention/output/LayerNorm/gamma/read 22462 22469
bert/encoder/layer_7/output/LayerNorm/gamma/read 22472 22480
bert/encoder/layer_8/attention/output/LayerNorm/gamma/read 22483 22494
bert/encoder/layer_8/output/LayerNorm/gamma/read 22497 22505
bert/encoder/layer_9/attention/output/LayerNorm/gamma/read 22508 22520
bert/encoder/layer_9/output/LayerNorm/gamma/read 22523 22530
bert/encoder/layer_10/attention/output/LayerNorm/gamma/read 22533 22541
bert/encoder/layer_10/output/LayerNorm/gamma/read 22548 22556
bert/encoder/layer_11/attention/output/LayerNorm/gamma/read 22559 22566
bert/encoder/layer_11/output/LayerNorm/gamma/read 22569 22580
bert/embeddings/dropout/random_uniform/RandomUniform 22583 22637
bert/pooler/dense/kernel/read 22646 22669
bert/pooler/dense/bias/read 22672 22680
cls/seq_relationship/output_weights/read 22683 22691
cls/seq_relationship/output_bias/read 22694 22705
Mul_1 22709 22782
Mul_180 22791 22843
Mul_182 22851 22890
Mul_186 22897 22941
Mul_188 22946 22985
Mul_191 22989 23025
Mul_193 23034 23073
Mul_196 23077 23114
Mul_198 23118 23161
Mul_201 23165 23202
Mul_203 23209 23254
Mul_207 23261 23301
Mul_209 23306 23342
Mul_212 23351 23390
Mul_214 23397 23436
Mul_218 23442 23487
Mul_220 23491 23528
Mul_223 23532 23575
Mul_225 23583 23622
Mul_229 23629 23703
Mul_231 23713 23752
Mul_24 23757 23793
Mul_234 23797 23840
Mul_236 23847 23897
Mul_240 23904 23949
Mul_242 23953 23992
Mul_245 23997 24033
Mul_247 24043 24081
Mul_250 24085 24122
Mul_26 24127 24180
Mul_252 24185 24225
Mul_255 24229 24273
Mul_257 24280 24321
Mul_261 24328 24371
Mul_263 24375 24414
Mul_266 24418 24455
Mul_268 24467 24508
Mul_272 24515 24554
Mul_274 24558 24600
Mul_277 24603 24640
Mul_279 24644 24683
Mul_282 24687 24728
Mul_284 24732 24768
Mul_29 24772 24818
Mul_287 24826 24864
Mul_289 24871 24915
Mul_293 24922 24964
Mul_295 24968 25004
Mul_298 25014 25052
Mul_300 25059 25096
Mul_304 25103 25148
Mul_31 25152 25189
Mul_306 25196 25238
Mul_309 25243 25281
Mul_311 25288 25332
Mul_315 25338 25379
Mul_317 25384 25420
Mul_320 25429 25468
Mul_322 25475 25512
Mul_326 25518 25563
Mul_328 25568 25605
Mul_331 25610 25654
Mul_333 25659 25698
Mul_336 25701 25738
Mul_338 25748 25788
Mul_35 25793 25829
bert/embeddings/assert_less_equal/Assert/Assert/_3725 25830 25859
gradients/bert/embeddings/Slice_grad/concat 25865 25875
Mul_341 25833 25880
bert/embeddings/Slice/begin 25879 25887
bert/embeddings/Slice/size 25891 25899
bert/embeddings/Reshape_3/shape 25901 25908
Mul_343 25888 25927
bert/embeddings/Slice 25910 25937
bert/embeddings/Reshape_3 25943 25955
Mul_347 25935 25978
Mul_349 25982 26021
Mul_352 26026 26062
Mul_354 26074 26113
Mul_358 26120 26157
Mul_3 26161 26207
Mul_37 26215 26253
Mul_360 26258 26299
Mul_363 26303 26342
Mul_365 26345 26381
Mul_368 26390 26429
Mul_370 26433 26469
Mul_373 26472 26516
Mul_375 26523 26561
Mul_379 26567 26610
Mul_381 26614 26652
Mul_384 26657 26692
Mul_386 26703 26745
Mul_390 26752 26790
Mul_392 26794 26840
Mul_40 26844 26880
Mul_395 26887 26929
Mul_397 26937 27000
Mul_401 27008 27050
Mul_403 27055 27096
Mul_406 27101 27138
Mul_408 27149 27189
Mul_412 27196 27232
Mul_42 27237 27284
Mul_414 27291 27327
Mul_417 27332 27372
Mul_419 27376 27413
Mul_422 27418 27452
Mul_424 27461 27500
Mul_427 27504 27539
Mul_429 27547 27591
Mul_433 27598 27635
Mul_435 27640 27681
Mul_438 27685 27723
Mul_440 27731 27769
Mul_444 27781 27820
Mul_446 27825 27859
Mul_46 27864 27906
Mul_449 27910 27946
Mul_451 27950 27991
Mul_454 27996 28033
Mul_456 28038 28072
Mul_459 28081 28120
Mul_461 28128 28164
Mul_465 28182 28232
Mul_48 28236 28272
Mul_467 28277 28318
Mul_470 28322 28360
Mul_472 28367 28404
Mul_476 28416 28455
Mul_478 28459 28494
Mul_481 28498 28541
Mul_483 28548 28589
Mul_487 28596 28644
Mul_489 28648 28686
Mul_492 28690 28730
Mul_494 28737 28777
Mul_498 28784 28821
Mul_500 28829 28867
Mul_51 28872 28907
Mul_503 28915 28959
Mul_505 28963 28999
Mul_508 29004 29043
Mul_510 29047 29085
Mul_513 29089 29124
Mul_515 29136 29176
Mul_519 29183 29221
Mul_53 29224 29267
Mul_521 29273 29310
Mul_524 29314 29355
Mul_526 29362 29402
Mul_530 29409 29447
Mul_532 29458 29496
Mul_535 29504 29540
Mul_537 29544 29586
Mul_540 29590 29625
Mul_542 29629 29669
Mul_545 29673 29711
Mul_547 29719 29756
Mul_551 29767 29806
Mul_553 29810 29845
Mul_57 29849 29891
Mul_556 29896 29931
Mul_558 29938 29981
Mul_562 29988 30026
Mul_564 30030 30065
Mul_567 30075 30112
Mul_569 30120 30156
Mul_573 30163 30207
Mul_59 30212 30247
Mul_575 30251 30292
Mul_578 30296 30334
Mul_580 30341 30389
Mul_584 30396 30436
Mul_586 30441 30501
Mul_589 30511 30550
Mul_591 30554 30588
Mul_594 30592 30640
Mul_596 30644 30680
Mul_599 30684 30724
Mul_601 30732 30771
Mul_605 30778 30816
Mul_607 30825 30863
Mul_62 30867 30903
Mul_610 30910 30953
Mul_612 30960 30998
Mul_616 31005 31048
Mul_618 31052 31090
Mul_621 31095 31129
Mul_623 31138 31176
Mul_626 31180 31214
Mul_64 31218 31262
Mul_628 31269 31307
Mul_631 31311 31351
Mul_633 31358 31398
Mul_637 31404 31441
Mul_639 31455 31523
Mul_642 31528 31567
Mul_644 31574 31618
Mul_648 31624 31661
Mul_650 31665 31707
Mul_653 31711 31749
Mul_655 31756 31798
Mul_659 31805 31843
Mul_661 31847 31882
Mul_68 31891 31929
Mul_664 31933 31968
Mul_666 31975 32018
Mul_670 32025 32062
Mul_672 32066 32106
Mul_675 32110 32149
Mul_677 32153 32201
Mul_680 32211 32250
Mul_70 32255 32299
Mul_682 32303 32346
Mul_685 32350 32391
Mul_687 32398 32442
Mul_691 32450 32492
Mul_693 32496 32531
Mul_696 32541 32580
Mul_698 32587 32625
Mul_702 32632 32678
Mul_704 32682 32727
Mul_707 32731 32769
Mul_709 32773 32809
Mul_712 32812 32845
Mul_714 32854 32889
Mul_7 32893 32926
Mul_73 32930 32969
Mul_717 32973 33007
Mul_719 33014 33053
Mul_723 33060 33096
Mul_725 33099 33133
Mul_728 33141 33178
Mul_730 33184 33218
Mul_734 33224 33266
Mul_75 33270 33303
Mul_736 33307 33346
Mul_739 33350 33385
Mul_741 33392 33427
Mul_745 33437 33474
Mul_747 33477 33510
Mul_750 33514 33554
Mul_752 33561 33595
Mul_756 33602 33642
Mul_758 33646 33683
Mul_761 33688 33725
Mul_763 33730 33765
Mul_766 33769 33802
Mul_768 33815 33850
Mul_78 33854 33892
Mul_771 33896 33963
Mul_773 33970 34011
Mul_777 34017 34058
Mul_779 34063 34099
Mul_782 34104 34137
Mul_784 34148 34187
Mul_788 34194 34230
Mul_80 34233 34273
Mul_790 34277 34310
Mul_793 34314 34351
Mul_795 34355 34391
Mul_798 34395 34428
Mul_800 34436 34471
Mul_803 34475 34508
Mul_805 34515 34556
Mul_809 34562 34597
Mul_811 34601 34638
Mul_814 34642 34678
Mul_816 34684 34719
Mul_820 34729 34767
Mul_822 34771 34804
Mul_83 34808 34848
Mul_825 34855 34892
Mul_827 34898 34939
Mul_831 34945 34982
Mul_833 34986 35019
Mul_836 35028 35063
Mul_838 35069 35104
Mul_842 35110 35155
Mul_85 35159 35192
Mul_844 35199 35239
Mul_847 35244 35279
Mul_849 35282 35319
Mul_852 35324 35359
Mul_854 35363 35396
Mul_857 35402 35443
Mul_859 35450 35486
Mul_863 35492 35535
Mul_865 35539 35573
Mul_868 35576 35614
Mul_870 35621 35659
Mul_874 35665 35722
Mul_876 35731 35769
Mul_89 35773 35806
Mul_879 35810 35849
Mul_881 35853 35886
Mul_884 35890 35928
Mul_886 35932 35966
Mul_889 35970 36003
Mul_891 36014 36051
Mul_895 36057 36092
Mul_9 36095 36136
Mul_91 36140 36183
Mul_897 36187 36228
Mul_900 36233 36268
Mul_902 36276 36310
Mul_906 36321 36359
Mul_908 36363 36396
Mul_911 36401 36441
Mul_913 36447 36482
Mul_917 36488 36530
Mul_919 36534 36569
Mul_922 36573 36606
Mul_924 36622 36659
Mul_928 36665 36700
Mul_930 36703 36744
Mul_94 36748 36782
Mul_933 36788 36828
Mul_935 36832 36868
Mul_938 36872 36905
